Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12372,2022-11-17,0.0692112285,-0.005247252,-0.011301929,21,100
Market-Adjusted Model,12373,2022-11-17,0.2588333099,0.1576920751,0.1783201527,21,100
Market-Adjusted Model,12376,2022-11-17,0.0364583634,-0.041772677,-0.044054794,21,100
Market-Adjusted Model,12377,2022-11-17,0.1851852121,0.1393901917,0.1046720549,21,100
Market-Adjusted Model,12380,2022-11-17,0.0196463437,-0.054647123,-0.060866814,21,100
Market-Adjusted Model,12385,2022-11-17,0.2088495211,0.1132793509,0.1283363639,21,100
Market-Adjusted Model,12391,2022-11-17,-0.012500086,-0.086603655,-0.093013243,21,100
Market-Adjusted Model,12397,2022-11-17,0.0038358455,-0.048174201,-0.076677312,21,100
Market-Adjusted Model,12400,2022-11-17,-0.088724624,-0.163484812,-0.169237781,21,100
Market-Adjusted Model,12411,2022-11-17,0.0598291092,-0.005965772,-0.020684048,21,100
Market-Adjusted Model,12412,2022-11-17,0.128678367,0.0436793945,0.0481652098,21,100
Market-Adjusted Model,12431,2022-11-17,0.1173628375,0.0344666948,0.0368496804,21,100
Market-Adjusted Model,12437,2022-11-17,0.0100718985,-0.070303855,-0.070441259,21,100
Market-Adjusted Model,12442,2022-11-17,-0.439333825,-0.599664283,-0.519846983,21,100
Market-Adjusted Model,12443,2022-11-17,0.5980944585,0.4379772709,0.5175813014,21,100
Market-Adjusted Model,12447,2022-11-17,0.1858857892,0.1071271074,0.1053726321,21,100
Market-Adjusted Model,12448,2022-11-17,0.0900215824,0.0197227182,0.0095084252,21,100
Market-Adjusted Model,12449,2022-11-17,0.0859322844,0.0091309712,0.0054191272,21,100
Market-Adjusted Model,12452,2022-11-17,0.096415296,0.0188239512,0.0159021388,21,100
Market-Adjusted Model,12453,2022-11-17,0.0117534755,-0.068611091,-0.068759682,21,100
Market-Adjusted Model,12457,2022-11-17,0.0579225002,-0.022796482,-0.022590657,21,100
Market-Adjusted Model,12461,2022-11-17,0.0816755595,0.0010542792,0.0011624023,21,100
Market-Adjusted Model,12462,2022-11-17,0.0508656806,-0.028239677,-0.029647477,21,100
Market-Adjusted Model,12472,2022-11-17,0.2374872154,0.1384989304,0.1569740583,21,100
Market-Adjusted Model,12473,2022-11-17,0.2016913757,0.1126808517,0.1211782185,21,100
Market-Adjusted Model,12476,2022-11-17,0.122238845,0.0417160008,0.0417256878,21,100
Market-Adjusted Model,12477,2022-11-17,0.0586433166,-0.011715494,-0.021869841,21,100
Market-Adjusted Model,12480,2022-11-17,0.108975082,0.0278280005,0.0284619248,21,100
Market-Adjusted Model,12487,2022-11-17,0.0253723706,-0.051064525,-0.055140787,21,100
Market-Adjusted Model,12488,2022-11-17,-0.000041543,-0.059599229,-0.0805547,21,100
Market-Adjusted Model,12490,2022-11-17,0.0995795072,0.0160519701,0.0190663501,21,100
Market-Adjusted Model,12495,2022-11-17,0.0842696537,0.0374429381,0.0037564965,21,100
Market-Adjusted Model,12497,2022-11-17,-0.191358061,-0.276559472,-0.271871219,21,100
Market-Adjusted Model,12500,2022-11-17,0.019998522,-0.024986424,-0.060514635,21,100
Market-Adjusted Model,12502,2022-11-17,-0.069983447,-0.145639809,-0.150496605,21,100
Market-Adjusted Model,12505,2022-11-17,-0.018353013,-0.09679375,-0.09886617,21,100
Market-Adjusted Model,12508,2022-11-17,0.1392592966,0.0528740479,0.0587461394,21,100
Market-Adjusted Model,12510,2022-11-17,-0.097040034,-0.172768729,-0.177553191,21,100
Market-Adjusted Model,12513,2022-11-17,0.0167333958,-0.058889558,-0.063779761,21,100
Market-Adjusted Model,12514,2022-11-17,0.1010404577,0.0186714934,0.0205273005,21,100
Market-Adjusted Model,12515,2022-11-17,0.0381744555,-0.036245643,-0.042338702,21,100
Market-Adjusted Model,12516,2022-11-17,0.0393660204,-0.040612011,-0.041147137,21,100
Market-Adjusted Model,12523,2022-11-17,0.1439812954,0.0560979086,0.0634681382,21,100
Market-Adjusted Model,12527,2022-11-17,-0.174757239,-0.240387082,-0.255270396,21,100
Market-Adjusted Model,12528,2022-11-17,-0.021398003,-0.101453401,-0.10191116,21,100
Market-Adjusted Model,12530,2022-11-17,-0.084038768,-0.166402274,-0.164551925,21,100
Market-Adjusted Model,12531,2022-11-17,-0.20027529,-0.297544008,-0.280788448,21,100
Market-Adjusted Model,12533,2022-11-17,0.0054372543,-0.071264008,-0.075075903,21,100
Market-Adjusted Model,12534,2022-11-17,0.0849112005,0.0060608472,0.0043980433,21,100
Market-Adjusted Model,12535,2022-11-17,0.0860515864,0.0053244439,0.0055384292,21,100
Market-Adjusted Model,12536,2022-11-17,0.0842217421,0.0044502524,0.003708585,21,100
Market-Adjusted Model,12537,2022-11-17,-0.033092727,-0.113764859,-0.113605884,21,100
Market-Adjusted Model,12540,2022-11-17,-0.041564811,-0.115482217,-0.122077968,21,100
Market-Adjusted Model,12543,2022-11-17,0.0278293923,-0.052236376,-0.052683765,21,100
Market-Adjusted Model,12552,2022-11-17,0.0884450609,0.0059278203,0.0079319037,21,100
Market-Adjusted Model,12558,2022-11-17,0.0614525413,-0.01796814,-0.019060616,21,100
Market-Adjusted Model,12564,2022-11-17,0.1080586383,0.0240261771,0.0275454812,21,100
Market-Adjusted Model,12565,2022-11-17,0.1014583758,0.0173847134,0.0209452187,21,100
Market-Adjusted Model,12566,2022-11-17,0.032149665,-0.040202764,-0.048363492,21,100
Market-Adjusted Model,12569,2022-11-17,0.3464567373,0.2376672278,0.2659435801,21,100
Market-Adjusted Model,12570,2022-11-17,0.1415968382,0.0583241352,0.061083681,21,100
Market-Adjusted Model,12573,2022-11-17,-0.013215842,-0.03815224,-0.093728999,21,100
Market-Adjusted Model,12577,2022-11-17,0.2796610497,0.2282268351,0.1991478926,21,100
Market-Adjusted Model,12578,2022-11-17,0.1213558129,0.0384068156,0.0408426557,21,100
Market-Adjusted Model,12579,2022-11-17,-0.009259253,-0.03297886,-0.08977241,21,100
Market-Adjusted Model,12583,2022-11-17,-0.073165942,-0.149882284,-0.153679099,21,100
Market-Adjusted Model,12591,2022-11-17,0.1557762194,0.0720372612,0.0752630622,21,100
Market-Adjusted Model,12592,2022-11-17,-0.113201925,-0.176877096,-0.193715082,21,100
Market-Adjusted Model,12593,2022-11-17,0.0822574073,0.0013637432,0.0017442501,21,100
Market-Adjusted Model,12615,2022-11-17,0.3528216281,0.2459726338,0.2723084709,21,100
Market-Adjusted Model,12621,2022-11-17,0.0791979927,-0.000421274,-0.001315164,21,100
Market-Adjusted Model,12622,2022-11-17,0.1179028652,0.0348624859,0.037389708,21,100
Market-Adjusted Model,12623,2022-11-17,-0.046452161,-0.122224493,-0.126965318,21,100
Market-Adjusted Model,12625,2022-11-17,0.0653459238,-0.015766159,-0.015167233,21,100
Market-Adjusted Model,12628,2022-11-17,0.2763228392,0.1739176644,0.195809682,21,100
Market-Adjusted Model,12629,2022-11-17,-0.033730178,-0.104020846,-0.114243336,21,100
Market-Adjusted Model,12631,2022-11-17,0.0167260259,-0.063493531,-0.063787131,21,100
Market-Adjusted Model,12633,2022-11-17,-0.038639877,-0.118925843,-0.119153034,21,100
Market-Adjusted Model,12641,2022-11-17,0.1271994204,0.0429599082,0.0466862632,21,100
Market-Adjusted Model,12644,2022-11-17,0.0580199847,-0.016191053,-0.022493172,21,100
Market-Adjusted Model,12646,2022-11-17,0.1520658052,0.0674232486,0.071552648,21,100
Market-Adjusted Model,12647,2022-11-17,0.1462409182,0.059935688,0.065727761,21,100
Market-Adjusted Model,12648,2022-11-17,0.0186371427,-0.058357189,-0.061876014,21,100
Market-Adjusted Model,12649,2022-11-17,-0.013440825,-0.085511607,-0.093953982,21,100
Market-Adjusted Model,12651,2022-11-17,0.1827730767,0.0949867873,0.1022599195,21,100
Market-Adjusted Model,12652,2022-11-17,0.111747876,0.0291930377,0.0312347188,21,100
Market-Adjusted Model,12654,2022-11-17,0.117953595,0.0342774672,0.0374404378,21,100
Market-Adjusted Model,12655,2022-11-17,0.14152422,0.0545138518,0.0610110628,21,100
Market-Adjusted Model,12656,2022-11-17,0.0522219693,-0.0264693,-0.028291188,21,100
Market-Adjusted Model,12657,2022-11-17,0.110921857,0.0291385924,0.0304086998,21,100
Market-Adjusted Model,12658,2022-11-17,0.0437260129,-0.034224698,-0.036787144,21,100
Market-Adjusted Model,12659,2022-11-17,0.0775958502,-0.001659871,-0.002917307,21,100
Market-Adjusted Model,12662,2022-11-17,0.1530398351,0.0644583576,0.0725266779,21,100
Market-Adjusted Model,12666,2022-11-17,0.0075238381,-0.072873753,-0.072989319,21,100
Market-Adjusted Model,12672,2022-11-17,-0.044269012,-0.125138818,-0.124782169,21,100
Market-Adjusted Model,12673,2022-11-17,0.0761605048,-0.003740653,-0.004352652,21,100
